datetime,hour_of_day,supply_voltage,supply_current,battery_voltage,battery_current,temperature,is_anomaly
2024-01-01 01:37:00,1.62,33,1.3991,66.1701,2.4381,17.838,0
2024-01-01 01:38:00,1.63,33,1.2344,66.0694,2.3336,17.8457,0
2024-01-01 01:39:00,1.65,33,1.418,65.606,2.3586,17.5934,0
2024-01-01 01:40:00,1.67,33,1.1807,65.9752,2.4117,17.5898,0
2024-01-01 01:41:00,1.68,33,1.4606,66.547,2.4099,17.7319,0
2024-01-01 01:42:00,1.7,33,1.5222,66.28,2.34,17.7953,0
2024-01-01 01:43:00,1.72,33,1.3808,66.2403,2.3248,17.7021,0
2024-01-01 01:44:00,1.73,33,1.3058,66.1872,2.3722,18.0736,0
2024-01-01 01:45:00,1.75,33,1.3119,66.5261,2.4112,17.92,0
2024-01-01 01:46:00,1.77,33,1.4227,66.1943,2.3962,17.8717,0
2024-01-01 01:47:00,1.78,33,1.4197,66.5802,2.2702,17.3808,0
2024-01-01 01:48:00,1.8,33,1.5678,65.7779,2.4025,18.1188,0
2024-01-01 01:49:00,1.82,33,1.4894,67.3831,2.4143,18.0311,0
2024-01-01 01:50:00,1.83,33,1.5432,67.1825,2.3557,17.7403,0
2024-01-01 01:51:00,1.85,33,1.5643,66.6535,2.3589,18.0091,0
2024-01-01 01:52:00,1.87,33,1.4483,66.942,2.3386,17.9136,0
2024-01-01 01:53:00,1.88,33,1.4969,67.1233,2.3001,17.8074,0
2024-01-01 01:54:00,1.9,33,1.4805,67.5239,2.3883,17.9092,0
2024-01-01 01:55:00,1.92,33,1.5213,66.6569,2.3467,17.999,0
2024-01-01 01:56:00,1.93,33,1.5613,67.0476,2.2864,17.8033,0
2024-01-01 01:57:00,1.95,33,1.5224,67.1126,2.3932,17.6795,0
2024-01-01 01:58:00,1.97,33,1.421,66.7127,2.3131,18.0881,0
2024-01-01 01:59:00,1.98,33,1.5647,67.4485,2.4795,18.2503,0
2024-01-01 02:00:00,2.0,33,1.4237,66.6394,2.3497,17.9629,0
2024-01-01 02:01:00,2.02,33,1.4206,66.5993,2.3567,17.8169,0
2024-01-01 02:02:00,2.03,33,1.6029,67.6969,2.3673,18.3687,0
2024-01-01 02:03:00,2.05,33,0.1655222891364033,67.027,2.4262,18.1905,1
2024-01-01 02:04:00,2.07,33,1.6045,67.594,2.3659,18.1193,0
2024-01-01 02:05:00,2.08,33,1.5661,67.3298,2.3903,18.1137,0
2024-01-01 02:06:00,2.1,33,1.6875,67.35,2.4229,18.0858,0
2024-01-01 02:07:00,2.12,33,1.5344,66.7406,2.4158,18.3724,0
2024-01-01 02:08:00,2.13,33,1.6912,66.664,2.2556,18.5442,0
2024-01-01 02:09:00,2.15,33,1.5919,66.871,2.3229,18.237,0
2024-01-01 02:10:00,2.17,33,1.461,67.0601,2.3287,17.929,0
2024-01-01 02:11:00,2.18,33,1.9351,66.5587,2.3655,18.008,0
2024-01-01 02:12:00,2.2,33,1.5581,66.5236,2.365,18.3296,0
2024-01-01 02:13:00,2.22,33,1.7558,67.2133,2.4458,18.2691,0
2024-01-01 02:14:00,2.23,33,1.6477,67.5933,2.3018,18.099,0
2024-01-01 02:15:00,2.25,33,1.7985,68.0296,2.2596,18.4587,0
2024-01-01 02:16:00,2.27,33,1.5434,68.1844,2.425,18.5776,0
2024-01-01 02:17:00,2.28,33,0.4645344019658066,67.5109,2.3199,18.3067,1
2024-01-01 02:18:00,2.3,33,1.6531,67.4787,2.3139,18.3636,0
2024-01-01 02:19:00,2.32,33,1.7702,67.7342,2.3193,18.4847,0
2024-01-01 02:20:00,2.33,33,1.8009,67.6646,2.2756,18.5118,0
2024-01-01 02:21:00,2.35,33,1.7937,67.8358,2.2623,18.4918,0
2024-01-01 02:22:00,2.37,33,1.7921,67.8164,2.2913,18.5386,0
2024-01-01 02:23:00,2.38,33,1.7624,67.2585,2.2971,18.5065,0
2024-01-01 02:24:00,2.4,33,1.8806,67.1458,2.2836,18.3843,0
2024-01-01 02:25:00,2.42,33,1.7562,67.7464,2.2524,18.3308,0
2024-01-01 02:26:00,2.43,33,1.9249,67.3136,2.255,18.6502,0
2024-01-01 02:27:00,2.45,33,1.7511,68.8525,2.3203,18.6271,0
2024-01-01 02:28:00,2.47,33,1.8568,67.9914,2.2571,18.3753,0
2024-01-01 02:29:00,2.48,33,2.0029,67.4063,2.3349,18.6565,0
2024-01-01 02:30:00,2.5,33,1.8481,68.0413,2.4403,18.7532,0
2024-01-01 02:31:00,2.52,33,1.8768,69.0954,2.3902,18.3261,0
2024-01-01 02:32:00,2.53,33,1.8679,67.6928,2.2326,18.6412,0
2024-01-01 02:33:00,2.55,33,1.9689,69.2039,2.2009,18.4791,0
2024-01-01 02:34:00,2.57,33,1.8362,68.4599,2.398,18.8483,0
2024-01-01 02:35:00,2.58,33,2.0247,68.2049,2.3474,26.868043688388603,1
2024-01-01 02:36:00,2.6,33,1.9157,68.5347,2.2328,18.9782,0
2024-01-01 02:37:00,2.62,33,1.7978,69.0348,2.2587,18.9388,0
2024-01-01 02:38:00,2.63,33,1.8208,68.3007,2.2081,18.8267,0
2024-01-01 02:39:00,2.65,33,2.0108,67.721,2.2446,19.1175,0
2024-01-01 02:40:00,2.67,33,1.7837,68.8553,2.3845,19.0172,0
2024-01-01 02:41:00,2.68,33,1.9697,68.0763,2.2659,18.8039,0
2024-01-01 02:42:00,2.7,33,1.7943,68.9831,2.2899,18.961,0
2024-01-01 02:43:00,2.72,33,1.9473,67.8564,2.2687,18.8588,0
2024-01-01 02:44:00,2.73,33,1.939,68.2862,2.2033,18.9285,0
2024-01-01 02:45:00,2.75,33,2.0127,69.0455,2.3412,19.0035,0
2024-01-01 02:46:00,2.77,33,1.9741,68.0295,2.3018,19.2182,0
2024-01-01 02:47:00,2.78,33,1.8641,67.5857,2.1573,18.6864,0
2024-01-01 02:48:00,2.8,33,2.0858,69.1089,2.2442,18.9803,0
2024-01-01 02:49:00,2.82,33,1.9649,69.0105,2.3133,19.0461,0
2024-01-01 02:50:00,2.83,33,1.9695,68.765,2.279,18.8399,0
2024-01-01 02:51:00,2.85,33,2.0517,68.5886,2.0819,19.2107,0
2024-01-01 02:52:00,2.87,33,2.0372,68.1634,2.2085,18.885,0
2024-01-01 02:53:00,2.88,33,2.046,68.9957,2.2599,19.4439,0
2024-01-01 02:54:00,2.9,33,2.0031,69.3615,2.2368,18.8563,0
2024-01-01 02:55:00,2.92,33,2.1247,68.8922,2.2593,19.739,0
2024-01-01 02:56:00,2.93,33,2.0997,69.964,2.2142,19.1396,0
2024-01-01 02:57:00,2.95,33,2.2339,69.03,2.1651,19.3835,0
2024-01-01 02:58:00,2.97,33,2.185,69.2911,2.2326,19.3767,0
2024-01-01 02:59:00,2.98,33,2.2539,68.781,2.216,19.1078,0
2024-01-01 03:00:00,3.0,33,2.2985,69.2276,2.1936,19.4175,0
2024-01-01 03:01:00,3.02,33,1.8633,68.5024,2.2187,19.1131,0
2024-01-01 03:02:00,3.03,33,2.1533,69.2743,2.2,19.2103,0
2024-01-01 03:03:00,3.05,33,2.3363,69.4125,2.1879,19.4183,0
2024-01-01 03:04:00,3.07,33,2.188,68.8196,2.1632,19.7952,0
2024-01-01 03:05:00,3.08,33,2.2157,69.292,2.1949,18.8475,0
2024-01-01 03:06:00,3.1,33,2.307,69.8919,2.2064,19.4091,0
2024-01-01 03:07:00,3.12,33,2.1244,70.2012,2.1858,19.1425,0
2024-01-01 03:08:00,3.13,33,2.1601,69.2757,2.223,19.8076,0
2024-01-01 03:09:00,3.15,33,2.2647,69.4448,2.1585,19.6626,0
2024-01-01 03:10:00,3.17,33,2.2992,68.863,2.1222,19.4736,0
2024-01-01 03:11:00,3.18,33,2.2014,69.3519,2.1289,19.668,0
2024-01-01 03:12:00,3.2,33,2.3109,70.4981,2.1729,19.5539,0
2024-01-01 03:13:00,3.22,33,2.2893,69.9856,2.236,19.4563,0
2024-01-01 03:14:00,3.23,33,2.3287,71.0025,2.1422,19.8039,0
2024-01-01 03:15:00,3.25,33,2.542,68.9634,2.1691,19.7324,0
2024-01-01 03:16:00,3.27,33,2.4823,69.8361,2.1289,19.8257,0
2024-01-01 03:17:00,3.28,33,2.3997,69.8764,2.1635,19.4871,0
2024-01-01 03:18:00,3.3,33,2.4186,71.1792,2.2357,19.9934,0
2024-01-01 03:19:00,3.32,33,2.4601,69.3266,2.2033,20.0079,0
2024-01-01 03:20:00,3.33,33,2.3764,70.614,2.2347,19.7496,0
2024-01-01 03:21:00,3.35,33,2.6528,69.9521,2.2285,20.1868,0
2024-01-01 03:22:00,3.37,33,2.3553,70.339,2.1545,19.943,0
2024-01-01 03:23:00,3.38,33,2.7233,70.1765,2.1473,19.5285,0
2024-01-01 03:24:00,3.4,33,2.5608,70.601,2.1388,20.2168,0
2024-01-01 03:25:00,3.42,33,2.5851,70.5703,2.1791,20.3923,0
2024-01-01 03:26:00,3.43,33,2.4062,71.1901,2.0741,20.0202,0
2024-01-01 03:27:00,3.45,33,2.7269,70.4158,2.1496,19.936,0
2024-01-01 03:28:00,3.47,33,2.5616,70.6248,2.0647,20.1302,0
2024-01-01 03:29:00,3.48,33,2.4298,71.0755,2.0971,20.5903,0
2024-01-01 03:30:00,3.5,33,2.5371,71.0604,2.1009,20.2768,0
2024-01-01 03:31:00,3.52,33,2.5659,70.8241,2.0724,20.021,0
2024-01-01 03:32:00,3.53,33,2.4497,71.4099,2.1306,20.064,0
2024-01-01 03:33:00,3.55,33,2.6771,71.186,2.1098,19.7758,0
2024-01-01 03:34:00,3.57,33,2.4024,70.8932,2.0917,20.1562,0
2024-01-01 03:35:00,3.58,33,2.5323,71.2376,2.1406,20.3545,0
2024-01-01 03:36:00,3.6,33,2.6417,70.8861,1.9691,20.4284,0
2024-01-01 03:37:00,3.62,33,2.6619,71.6219,2.1297,20.4443,0
2024-01-01 03:38:00,3.63,33,2.7508,70.9446,1.9731,20.3467,0
2024-01-01 03:39:00,3.65,33,2.6728,70.6731,2.0999,20.3536,0
2024-01-01 03:40:00,3.67,33,2.7125,71.8519,1.9892,20.5477,0
2024-01-01 03:41:00,3.68,33,2.7383,71.4928,2.0912,20.4457,0
2024-01-01 03:42:00,3.7,33,2.6284,72.4339,1.9374,20.3661,0
2024-01-01 03:43:00,3.72,33,2.8374,72.8082,2.1555,20.721,0
2024-01-01 03:44:00,3.73,33,2.8046,71.2737,2.0691,20.7849,0
2024-01-01 03:45:00,3.75,33,2.7285,71.9494,2.0625,20.4464,0
2024-01-01 03:46:00,3.77,33,2.7298,71.4151,2.118,20.4635,0
2024-01-01 03:47:00,3.78,33,2.8428,71.7092,2.0716,20.72,0
2024-01-01 03:48:00,3.8,33,2.815,71.4592,2.1038,20.4929,0
2024-01-01 03:49:00,3.82,33,2.9658,71.5796,2.0923,20.9157,0
2024-01-01 03:50:00,3.83,33,2.9401,72.7478,2.0409,20.3737,0
2024-01-01 03:51:00,3.85,33,2.8287,71.9664,2.0526,20.5342,0
2024-01-01 03:52:00,3.87,33,2.8656,72.4481,2.0663,20.9479,0
2024-01-01 03:53:00,3.88,33,3.0508,71.4836,2.0444,20.6531,0
2024-01-01 03:54:00,3.9,33,2.946,73.6034,2.0916,20.6775,0
2024-01-01 03:55:00,3.92,33,2.9752,72.0327,2.0527,20.6965,0
2024-01-01 03:56:00,3.93,33,2.9875,71.5769,2.1177,20.7376,0
2024-01-01 03:57:00,3.95,33,3.046,72.5469,1.999,20.7726,0
2024-01-01 03:58:00,3.97,33,3.0069,71.8772,2.0074,20.9504,0
2024-01-01 03:59:00,3.98,33,2.8102,72.1542,1.9667,21.3391,1
2024-01-01 04:00:00,4.0,33,3.0747,71.7639,1.9667,21.1554,1
2024-01-01 04:01:00,4.02,33,2.97,72.2851,1.9667,21.1682,1
2024-01-01 04:02:00,4.03,33,3.2052,72.8869,1.9667,21.1322,1
2024-01-01 04:03:00,4.05,33,2.9222,72.5402,1.9667,21.2021,1
2024-01-01 04:04:00,4.07,33,3.1694,72.8262,1.9667,21.2804,1
2024-01-01 04:05:00,4.08,33,3.0878,73.22,1.9667,21.1913,1
2024-01-01 04:06:00,4.1,33,3.1631,72.9461,1.9667,21.0209,1
2024-01-01 04:07:00,4.12,33,3.1035,73.414,1.9667,20.8413,1
2024-01-01 04:08:00,4.13,33,3.2443,73.6631,1.9667,21.4249,1
2024-01-01 04:09:00,4.15,33,2.9956,72.4079,1.9667,21.3155,1
2024-01-01 04:10:00,4.17,33,3.1005,72.8107,1.9775,21.1899,0
2024-01-01 04:11:00,4.18,33,3.1189,72.6497,1.9879,21.1869,0
2024-01-01 04:12:00,4.2,33,3.0994,73.128,1.9593,21.4459,0
2024-01-01 04:13:00,4.22,33,3.1313,72.9939,1.9235,21.1755,0
2024-01-01 04:14:00,4.23,33,3.2812,72.8847,2.0701,21.2331,0
2024-01-01 04:15:00,4.25,33,3.1752,73.644,1.9025,21.3726,0
2024-01-01 04:16:00,4.27,33,3.3678,73.6424,1.8851,21.2814,0
2024-01-01 04:17:00,4.28,33,3.3453,73.341,1.9318,21.5009,0
2024-01-01 04:18:00,4.3,33,3.2958,73.0462,1.9373,21.6919,0
2024-01-01 04:19:00,4.32,33,3.4239,73.0865,1.8697,21.471,1
2024-01-01 04:20:00,4.33,33,3.0987,72.7643,1.9681,21.6675,0
2024-01-01 04:21:00,4.35,33,3.36,74.5569,1.9478,21.9471,0
2024-01-01 04:22:00,4.37,33,3.3553,73.0909,1.9015,21.3877,0
2024-01-01 04:23:00,4.38,33,3.338,74.9127,1.9606,21.9234,0
2024-01-01 04:24:00,4.4,33,3.3828,73.5353,1.8645,21.6658,0
2024-01-01 04:25:00,4.42,33,3.5726,73.948,1.9077,21.5912,0
2024-01-01 04:26:00,4.43,33,3.4767,73.6725,1.8746,21.8445,0
2024-01-01 04:27:00,4.45,33,3.6002,73.4502,1.8499,21.7501,0
2024-01-01 04:28:00,4.47,33,3.4827,74.2387,1.8964,21.8656,0
2024-01-01 04:29:00,4.48,33,3.6413,73.8766,1.8971,21.8271,0
2024-01-01 04:30:00,4.5,33,3.4756,74.7734,1.8138,21.4893,0
2024-01-01 04:31:00,4.52,33,6.323912385805333,73.6636,1.7899,21.8608,1
2024-01-01 04:32:00,4.53,33,3.5384,74.2418,1.9266,22.0436,0
2024-01-01 04:33:00,4.55,33,3.6702,75.0229,1.7605,21.735,0
2024-01-01 04:34:00,4.57,33,3.5187,74.1263,1.8216,22.0823,0
2024-01-01 04:35:00,4.58,33,3.5749,74.3196,1.8308,22.2245,0
2024-01-01 04:36:00,4.6,33,3.5991,75.3765,1.8727,22.0987,0
2024-01-01 04:37:00,4.62,33,3.4555,75.0105,1.8477,21.7847,0
2024-01-01 04:38:00,4.63,33,3.5829,74.4702,1.8759,22.1308,0
2024-01-01 04:39:00,4.65,33,3.462,75.119,1.7857,22.467,0
2024-01-01 04:40:00,4.67,33,3.659,74.9806,1.8495,22.2244,0
2024-01-01 04:41:00,4.68,33,3.701,75.2706,1.8536,22.0924,0
2024-01-01 04:42:00,4.7,33,3.8102,75.1144,1.8036,21.9882,0
2024-01-01 04:43:00,4.72,33,3.6308,75.2642,1.881,22.2719,0
2024-01-01 04:44:00,4.73,33,3.6163,75.5895,1.7216,22.5483,0
2024-01-01 04:45:00,4.75,33,3.6218,75.3219,1.7427,22.5769,0
2024-01-01 04:46:00,4.77,33,3.8459,75.4449,1.8799,22.3392,0
2024-01-01 04:47:00,4.78,33,3.6685,74.346,1.7133,22.9093,0
2024-01-01 04:48:00,4.8,33,3.9141,75.3912,1.8452,22.5485,0
2024-01-01 04:49:00,4.82,33,3.8475,76.0652,1.7872,22.738,0
2024-01-01 04:50:00,4.83,33,3.7928,73.7113,1.8414,22.5268,0
2024-01-01 04:51:00,4.85,33,3.807,75.2843,1.7968,22.5373,0
2024-01-01 04:52:00,4.87,33,3.8088,75.8566,1.8185,22.536,0
2024-01-01 04:53:00,4.88,33,3.9564,75.5234,1.7826,22.5779,0
2024-01-01 04:54:00,4.9,33,3.8511,75.7412,1.7739,22.6761,0
2024-01-01 04:55:00,4.92,33,3.9391,75.7517,1.7108,23.0684,0
2024-01-01 04:56:00,4.93,33,3.9098,76.9731,1.7973,22.9323,0
2024-01-01 04:57:00,4.95,33,3.9398,76.0071,1.8066,23.0139,0
2024-01-01 04:58:00,4.97,33,3.9677,76.5428,1.8118,23.0725,0
2024-01-01 04:59:00,4.98,33,3.9844,76.6645,1.7158,22.9028,0
2024-01-01 05:00:00,5.0,33,4.0476,76.1154,1.7907,22.8509,0
2024-01-01 05:01:00,5.02,33,4.2616,75.5417,1.6178,22.8503,0
2024-01-01 05:02:00,5.03,33,3.8871,76.0861,1.7744,23.2905,0
2024-01-01 05:03:00,5.05,33,3.9199,76.5766,1.6928,22.6799,0
2024-01-01 05:04:00,5.07,33,4.0621,76.3802,1.7278,23.1045,0
2024-01-01 05:05:00,5.08,33,4.2746,76.6049,1.7602,22.4577,0
2024-01-01 05:06:00,5.1,33,3.8539,76.7683,1.691,22.8626,0
2024-01-01 05:07:00,5.12,33,4.0507,76.3246,1.7015,23.4513,0
2024-01-01 05:08:00,5.13,33,4.1616,76.6713,1.6963,23.1976,0
2024-01-01 05:09:00,5.15,33,4.2234,76.3031,1.7467,23.0687,0
2024-01-01 05:10:00,5.17,33,4.1149,76.6801,1.7266,23.2979,0
2024-01-01 05:11:00,5.18,33,4.2115,76.4225,1.6598,23.2708,0
2024-01-01 05:12:00,5.2,33,4.2114,78.2227,1.5934,23.5662,0
2024-01-01 05:13:00,5.22,33,4.095,76.6121,1.7926,23.4173,0
2024-01-01 05:14:00,5.23,33,4.1946,76.8773,1.6849,23.2123,0
2024-01-01 05:15:00,5.25,33,4.3205,77.8156,1.6934,23.5411,0
2024-01-01 05:16:00,5.27,33,4.2232,76.9354,1.677,23.6578,0
2024-01-01 05:17:00,5.28,33,4.193,77.5082,1.8107,23.336,0
2024-01-01 05:18:00,5.3,33,4.2387,77.5223,1.6497,23.543,0
2024-01-01 05:19:00,5.32,33,4.2606,77.618,1.6892,23.5572,0
2024-01-01 05:20:00,5.33,33,4.3512,78.0094,1.6951,23.2939,0
2024-01-01 05:21:00,5.35,33,4.2463,77.4109,1.6833,23.9897,0
2024-01-01 05:22:00,5.37,33,4.4498,77.1787,1.7037,24.0002,0
2024-01-01 05:23:00,5.38,33,4.4254,77.7007,1.6075,23.9444,0
2024-01-01 05:24:00,5.4,33,4.15,77.394,1.6116,23.8822,0
2024-01-01 05:25:00,5.42,33,4.4185,77.9218,1.7033,24.1324,0
2024-01-01 05:26:00,5.43,33,4.4242,77.6597,1.6401,24.2154,0
2024-01-01 05:27:00,5.45,33,4.3285,77.0864,1.5938,23.6895,0
2024-01-01 05:28:00,5.47,33,4.4458,77.9536,1.6544,23.3691,0
2024-01-01 05:29:00,5.48,33,4.4935,78.2787,1.6398,23.9547,0
2024-01-01 05:30:00,5.5,33,4.3937,78.4988,1.6331,23.7645,0
2024-01-01 05:31:00,5.52,33,4.49,77.6257,1.5693,24.189,0
2024-01-01 05:32:00,5.53,33,4.5824,78.3643,1.6272,24.0127,0
2024-01-01 05:33:00,5.55,33,4.5695,77.9227,1.4992,24.1898,0
2024-01-01 05:34:00,5.57,33,4.4401,78.0521,1.6877,24.0759,0
2024-01-01 05:35:00,5.58,33,4.6885,77.968,1.5933,24.0935,0
2024-01-01 05:36:00,5.6,33,4.458,78.3758,1.5867,23.9754,0
2024-01-01 05:37:00,5.62,33,4.6611,78.8277,1.6092,23.8989,0
2024-01-01 05:38:00,5.63,33,4.6567,78.6731,1.5823,24.0448,0
2024-01-01 05:39:00,5.65,33,4.7352,78.3399,1.5563,24.2236,0
2024-01-01 05:40:00,5.67,33,4.6417,78.591,1.4966,24.0292,0
2024-01-01 05:41:00,5.68,33,4.7268,80.076,1.5116,24.3586,0
